"ts_stock","region","stock","year","catch","TAC","catch_by_TAC","DemersPelag","source"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2004,262,300,"0.87","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2005,259,300,"0.86","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2006,387,650,"0.60","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2007,196,235,"0.83","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2008,157,365,"0.43","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2009,138,183,"0.76","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2010,132,183,"0.72","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2011,111,133,"0.83","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2012,51,118,"0.43","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2013,66,118,"0.56","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2014,15,118,"0.12","benthopelagic","Mike's data"
"Blue Warehou Southeast Australia [pooled]","Australia","Blue Warehou Southeast Australia [pooled]_E and W_pooled",2015,4,118,"0.03","benthopelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2006,1966000,2100000,"0.94","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2007,1612000,1847000,"0.87","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2008,1246000,1250000,"1.00","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2009,636000,606000,"1.05","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2010,540000,548000,"0.99","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2011,105000,40000,"2.63","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2012,384000,391000,"0.98","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2013,626000,643000,"0.97","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2014,1155000,1200000,"0.96","bathypelagic","Mike's data"
"Blue Whiting Northeast Atlantic","Europe-ICES-EU","Blue Whiting Northeast Atlantic_I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV_full",2015,1300000,1260000,"1.03","bathypelagic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",1999,50000,32000,"1.56","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2000,50000,29500,"1.69","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2001,50000,29500,"1.69","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2002,50000,29500,"1.69","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2003,50000,32000,"1.56","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2004,50000,32000,"1.56","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2005,50000,32000,"1.56","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2006,50000,32000,"1.56","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2007,61000,29500,"2.07","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2008,23849,28500,"0.84","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2009,19751,22000,"0.90","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2010,11328,13500,"0.84","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2011,9774,12900,"0.76","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2012,11473,12900,"0.89","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2013,13244,13500,"0.98","pelagic-oceanic","Mike's data"
"Bluefin tuna Eastern Atlantic","high seas","Bluefin tuna Eastern Atlantic__full",2014,13250,13500,"0.98","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1982,1442,800,"1.80","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1983,2542,2660,"0.96","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1984,2280,2660,"0.86","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1985,2669,2660,"1.00","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1986,2316,2660,"0.87","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1987,2503,2660,"0.94","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1988,2896,2660,"1.09","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1989,2759,2660,"1.04","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1990,2780,2660,"1.05","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1991,2920,2660,"1.10","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1992,2282,2660,"0.86","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1993,2367,2128,"1.11","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1994,2113,1995,"1.06","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1995,2425,2200,"1.10","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1996,2514,2200,"1.14","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1997,2334,2354,"0.99","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1998,2657,2354,"1.13","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",1999,2772,2500,"1.11","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2000,2775,2500,"1.11","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2001,2784,2500,"1.11","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2002,3319,2500,"1.33","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2003,2305,2700,"0.85","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2004,2125,2700,"0.79","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2005,1756,2700,"0.65","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2006,1811,2700,"0.67","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2007,1638,2100,"0.78","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2008,2000,2100,"0.95","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2009,1980,1900,"1.04","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2010,1876,1800,"1.04","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2011,2007,1750,"1.15","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2012,1754,1750,"1.00","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2013,1486,1750,"0.85","pelagic-oceanic","Mike's data"
"Bluefin tuna Western Atlantic","high seas","Bluefin tuna Western Atlantic__full",2014,1626,1750,"0.93","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2000,8464,16025,"0.53","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2001,9947,17164,"0.58","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2002,8278,12188,"0.68","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2003,9321,16914,"0.55","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2004,11512,14447,"0.80","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2005,12202,13993,"0.87","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2006,10718,11249,"0.95","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2007,13277,12592,"1.05","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2008,11753,12773,"0.92","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2009,9784,13317,"0.73","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2010,10836,13272,"0.82","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2011,7761,12379,"0.63","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2012,7484,12823,"0.58","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2013,9339,10823,"0.86","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2014,6854,9562,"0.72","pelagic-oceanic","Mike's data"
"Bluefish Atlantic Coast","US northeast","Bluefish Atlantic Coast_USA-NMFS-ATLC_full1",2015,6695,8251,"0.81","pelagic-oceanic","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2002,52,100,"0.52","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2003,4,20,"0.18","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2004,19,250,"0.08","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2005,25,307,"0.08","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2006,24,308,"0.08","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2007,14,218,"0.06","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2008,10,218,"0.05","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2009,22,288,"0.08","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2010,15,288,"0.05","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2011,8,263,"0.03","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2012,12,274,"0.05","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2013,17,320,"0.05","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2014,15,337,"0.04","reef-associated","Mike's data"
"Bocaccio Southern Pacific Coast","US west","Bocaccio Southern Pacific Coast__full",2015,48,349,"0.14","reef-associated","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2002,76,93,"0.82","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2003,32,44,"0.72","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2004,33,47,"0.71","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2005,46,47,"0.98","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2006,35,47,"0.75","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2007,36,44,"0.81","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2008,29,44,"0.67","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2009,24,105,"0.23","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2010,22,105,"0.21","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2011,35,102,"0.34","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2012,23,107,"0.21","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2013,26,116,"0.23","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2014,22,119,"0.19","demersal","Mike's data"
"Canary rockfish Pacific Coast","US west","Canary rockfish Pacific Coast__full",2015,64,122,"0.53","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1985,152,450,"0.34","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1987,84,300,"0.28","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1988,69,300,"0.23","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1989,1744,1575,"1.11","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1990,1535,1475,"1.04","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1991,1184,1350,"0.88","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1992,1228,1275,"0.96","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1993,952,850,"1.12","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1997,677,929,"0.73","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1998,750,929,"0.81","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",1999,903,921,"0.98","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2000,762,1097,"0.69","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2001,786,1046,"0.75","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2002,868,1046,"0.83","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2003,831,1046,"0.79","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2004,775,1046,"0.74","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2005,880,1046,"0.84","demersal","Mike's data"
"Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada west","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands__full",2006,754,1046,"0.72","demersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1978,140029,103000,"1.36","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1979,146535,147500,"0.99","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1980,149109,155700,"0.96","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1981,135816,154500,"0.88","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1982,132796,136000,"0.98","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1983,114851,120000,"0.96","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1984,131607,128000,"1.03","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1985,155813,130500,"1.19","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1986,160258,138500,"1.16","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1987,145836,141000,"1.03","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1988,135100,139900,"0.97","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1989,136668,138500,"0.99","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1990,137174,138500,"0.99","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1991,141000,141004,"1.00","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1992,141600,145000,"0.98","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1993,141473,147000,"0.96","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1994,147177,148000,"0.99","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1995,141040,151000,"0.93","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1996,159263,151000,"1.05","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1997,147680,151000,"0.98","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1998,154222,151000,"1.02","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",1999,137399,151000,"0.91","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2000,157426,155500,"1.01","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2001,158401,166000,"0.95","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2002,147587,166000,"0.89","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2003,153453,163000,"0.94","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2004,153684,161000,"0.95","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2005,142700,158000,"0.90","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2006,133522,150000,"0.89","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2007,143441,135000,"1.06","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2008,129503,130532,"0.99","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2009,110930,118578,"0.94","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2010,110666,119831,"0.92","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2011,129317,131780,"0.98","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2012,127892,144671,"0.88","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2013,128894,156075,"0.83","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2014,143927,155280,"0.93","bathydemersal","Mike's data"
"Cape hakes South Africa [pooled]","South Africa","Cape hakes South Africa [pooled]_deep; shallow_pooled",2015,147501,147500,"1.00","bathydemersal","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1981,2400,25000,"0.10","pelagic-oceanic","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1982,393,25000,"0.02","pelagic-oceanic","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1983,1020,25000,"0.04","pelagic-oceanic","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1984,2090,25000,"0.08","pelagic-oceanic","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1985,3120,25000,"0.12","pelagic-oceanic","Mike's data"
"Capelin Gulf of St. Lawrence","Canada east","Capelin Gulf of St. Lawrence__",1986,3950,25000,"0.16","pelagic-oceanic","Mike's data"
