"ts_stock","region","stock","year","catch","TAC","catch_by_TAC","DemersPelag","source"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1984,1080,10000,"0.11","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1985,748,10000,"0.07","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1986,2920,10000,"0.29","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1987,926,10000,"0.09","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1988,880,10000,"0.09","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1989,4150,10000,"0.42","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1990,1830,10000,"0.18","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1991,501,10000,"0.05","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1992,120,10000,"0.01","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1993,85,5000,"0.02","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1994,23,498,"0.05","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1995,23,109,"0.21","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1996,23,109,"0.21","demersal","Mike's data"
"American Plaice NAFO-23K","Canada east","American Plaice NAFO-23K__",1997,22,120,"0.18","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1980,49086,47000,"1.04","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1981,50158,55000,"0.91","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1982,50337,55000,"0.92","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1983,37720,55000,"0.69","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1984,36063,55000,"0.66","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1985,48081,49000,"0.98","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1986,57449,55000,"1.04","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1987,53457,48000,"1.11","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1988,38928,33585,"1.16","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1989,41206,30300,"1.36","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1990,24006,24900,"0.96","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1991,25503,25800,"0.99","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1992,10870,25800,"0.42","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1993,7916,10500,"0.75","demersal","Mike's data"
"American Plaice NAFO-3LNO","Canada east","American Plaice NAFO-3LNO__full",1994,560,4800,"0.12","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1988,2800,2000,"1.40","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1989,3500,2000,"1.75","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1990,790,2000,"0.40","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1991,1600,2000,"0.80","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1992,765,2000,"0.38","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1993,275,2000,"0.14","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1994,669,1000,"0.67","demersal","Mike's data"
"American Plaice NAFO-3M","Canada east","American Plaice NAFO-3M__full",1995,1300,1000,"1.30","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1974,6600,11000,"0.60","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1975,4210,11000,"0.38","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1976,5460,8000,"0.68","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1977,4610,6000,"0.77","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1978,3660,4000,"0.92","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1979,3670,4000,"0.92","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1980,2940,5000,"0.59","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1981,3220,5000,"0.64","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1982,2190,5000,"0.44","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1983,1730,5000,"0.35","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1984,2960,5000,"0.59","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1985,4220,5000,"0.84","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1986,5130,5000,"1.03","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1987,5330,5000,"1.07","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1988,4410,5000,"0.88","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1989,2960,5000,"0.59","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1990,4130,4000,"1.03","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1991,4400,4000,"1.10","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1992,2330,4000,"0.58","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1993,751,3000,"0.25","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1994,122,500,"0.24","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1995,85,100,"0.85","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1996,114,100,"1.14","demersal","Mike's data"
"American Plaice NAFO-3Ps","Canada east","American Plaice NAFO-3Ps__",1997,243,100,"2.43","demersal","Mike's data"
"American Plaice NAFO-5YZ","US northeast","American Plaice NAFO-5YZ_USA-NMFS-5YZ_full",2010,1608,3006,"0.53","demersal","Mike's data"
"American Plaice NAFO-5YZ","US northeast","American Plaice NAFO-5YZ_USA-NMFS-5YZ_full",2011,1661,3280,"0.51","demersal","Mike's data"
"American Plaice NAFO-5YZ","US northeast","American Plaice NAFO-5YZ_USA-NMFS-5YZ_full",2012,1643,3459,"0.47","demersal","Mike's data"
"American Plaice NAFO-5YZ","US northeast","American Plaice NAFO-5YZ_USA-NMFS-5YZ_full",2013,1445,1482,"0.97","demersal","Mike's data"
"American Plaice NAFO-5YZ","US northeast","American Plaice NAFO-5YZ_USA-NMFS-5YZ_full",2014,1342,1442,"0.93","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1977,9230,10000,"0.92","demersal","Mike's data"
